,Unnamed: 0,Claim,Optimized Reach,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,0,Wounded Warrior Project provides life-changing mental health treatment at no cost to warriors,Offered,,,
1,1,76% of warriors who complete the Wounded Warrior Project Warrior Care Network program experience fewer PTSD symptoms,66,,,
2,2,Wounded Warrior Project is committed to honoring and empowering wounded warriors,Considered,,,
3,3,"When warriors are ready to take on their next mission in life, Wounded Warrior Project stands ready to serve",Considered,,,
4,4,Wounded Warrior Project helps warriors find the healing and confidence to reclaim their role in life and to feel human again,Considered,,,
5,5,Wounded Warrior Project offers a 12-week mental health program that uses adventure-based learning to help warriors manage and overcome invisible wounds of war,76.33,,,
6,6,"Wounded Warrior Project’s members often find a lifelong support system and the treatment and tools needed to manage their anger, heal their family and themselves",71.59,,,
7,7,Wounded Warrior Project lets warriors connect with others who understand what they are going through and helps them find the strength to start healing,Considered,,,
8,8,"Through Wounded Warrior Project’s no-cost mental health programs, countless warriors have found support, camaraderie, and tools to begin healing",Considered,,,
9,9,"Wounded Warrior Project offers a no-cost program for veterans designed to help warriors living with post-traumatic stress disorder (PTSD), military sexual trauma (MST) and traumatic brain injury (TBI) and their families",46.69,,,
10,10,Wounded Warrior Project helps warriors find treatments and therapies to heal themselves and their relationships and families,Considered,,,
11,11,"Wounded Warrior Project helps warriors find the treatment, tools, and resources to cope with the anger, pain, and anxiety caused by PTSD to help them feel like themselves again",Considered,,,
12,12,Warriors never pay a penny for Wounded Warrior Project’s programs and services — because they paid their dues on the battlefield,58.71,,,
13,,,,,,
14,,0,1,2,3,4
15,Metric,Average Liked,Average Reach,Average Favorite,Subgroup,Number of Respondents
16,Setup,1.339,76.33,72.06,Current WWP Members,177
